Time_s,Voltage_mV
0.583,0.736746
0.584,0.430808
0.585,0.208898
0.586,0.053172
0.587,-0.02242
0.588,-0.049996
0.589,-0.047725
0.59,-0.04221
0.591,-0.04221
0.592,-0.044481
0.593,-0.052267
0.594,-0.06784
0.595,-0.093146
0.596,-0.117802
0.597,-0.142783
0.598,-0.172955
0.599,-0.199234
0.6,-0.22454
0.601,-0.24433
0.602,-0.259578
0.603,-0.278719
0.604,-0.302078
0.605,-0.322517
0.606,-0.334197
0.607,-0.348472
0.608,-0.365991
0.609,-0.378319
0.61,-0.382212
0.611,-0.38935
0.612,-0.389025
0.613,-0.387728
0.614,-0.378968
0.615,-0.378319
0.616,-0.402327
0.617,-0.418224
0.618,-0.430552
0.619,-0.444827
0.62,-0.454236
0.621,-0.452289
0.622,-0.442881
0.623,-0.436392
0.624,-0.436067
0.625,-0.448396
0.626,-0.452938
0.627,-0.458453
0.628,-0.462022
0.629,-0.452613
0.63,-0.450342
0.631,-0.462346
0.632,-0.467213
0.633,-0.469159
0.634,-0.458453
0.635,-0.443854
0.636,-0.436067
0.637,-0.421468
0.638,-0.415304
0.639,-0.435419
0.64,-0.456507
0.641,-0.449369
0.642,-0.449045
0.643,-0.464293
0.644,-0.458129
0.645,-0.452289
0.646,-0.46332
0.647,-0.47435
0.648,-0.47435
0.649,-0.479541
0.65,-0.488301
0.651,-0.491545
0.652,-0.493816
0.653,-0.499331
0.654,-0.506469
0.655,-0.510037
0.656,-0.519446
0.657,-0.53145
0.658,-0.535343
0.659,-0.53145
0.66,-0.524637
0.661,-0.532099
0.662,-0.536965
0.663,-0.541183
0.664,-0.542156
0.665,-0.546698
0.666,-0.559999
0.667,-0.569732
0.668,-0.579141
0.669,-0.593091
0.67,-0.602175
0.671,-0.617099
0.672,-0.637214
0.673,-0.650515
0.674,-0.650191
0.675,-0.656031
0.676,-0.658626
0.677,-0.654084
0.678,-0.653435
0.679,-0.669332
0.68,-0.688473
0.681,-0.698531
0.682,-0.695935
0.683,-0.69918
0.684,-0.720916
0.685,-0.74168
0.686,-0.762768
0.687,-0.769581
0.688,-0.765039
0.689,-0.764065
0.69,-0.776718
0.691,-0.790344
0.692,-0.800077
0.693,-0.797806
0.694,-0.799753
0.695,-0.802672
0.696,-0.799428
0.697,-0.80981
0.698,-0.833818
0.699,-0.862367
0.7,-0.887024
0.701,-0.920765
0.702,-0.946719
0.703,-0.965536
0.704,-0.982406
0.705,-0.996357
0.706,-1.022635
0.707,-1.051834
0.708,-1.066758
0.709,-1.06546
0.71,-1.043399
0.711,-0.99733
0.712,-0.947368
0.713,-0.897081
0.714,-0.845173
0.715,-0.783207
0.716,-0.716699
0.717,-0.649218
0.718,-0.588225
0.719,-0.535343
0.72,-0.485705
0.721,-0.431525
0.722,-0.381239
0.723,-0.342632
0.724,-0.322517
0.725,-0.304349
0.726,-0.287479
0.727,-0.278719
0.728,-0.275151
0.729,-0.265418
0.73,-0.257307
0.731,-0.245627
0.732,-0.234921
0.733,-0.229082
0.734,-0.221295
0.735,-0.216104
0.736,-0.218375
0.737,-0.221944
0.738,-0.215456
0.739,-0.217402
0.74,-0.221944
0.741,-0.230704
0.742,-0.240437
0.743,-0.237192
0.744,-0.225837
0.745,-0.210589
0.746,-0.200532
0.747,-0.204749
0.748,-0.199883
0.749,-0.191123
0.75,-0.204425
0.751,-0.229082
0.752,-0.231028
0.753,-0.228433
0.754,-0.232326
0.755,-0.219024
0.756,-0.207345
0.757,-0.227459
0.758,-0.242059
0.759,-0.242708
0.76,-0.243681
0.761,-0.24141
0.762,-0.245303
0.763,-0.251467
0.764,-0.254063
0.765,-0.251467
0.766,-0.24433
0.767,-0.245627
0.768,-0.253089
0.769,-0.253089
0.77,-0.25244
0.771,-0.260876
0.772,-0.265418
0.773,-0.262822
0.774,-0.257956
0.775,-0.259902
0.776,-0.257956
0.777,-0.25244
0.778,-0.249521
0.779,-0.254387
0.78,-0.260227
0.781,-0.255036
0.782,-0.246276
0.783,-0.247898
0.784,-0.257631
0.785,-0.267364
0.786,-0.26996
0.787,-0.268662
0.788,-0.264769
0.789,-0.262822
0.79,-0.250818
0.791,-0.243356
0.792,-0.253738
0.793,-0.274177
0.794,-0.279044
0.795,-0.279044
0.796,-0.271906
0.797,-0.264769
0.798,-0.258605
0.799,-0.262822
0.8,-0.258605
0.801,-0.254387
0.802,-0.253414
0.803,-0.254711
0.804,-0.256009
0.805,-0.259253
0.806,-0.260227
0.807,-0.255685
0.808,-0.25244
0.809,-0.245627
0.81,-0.235246
0.811,-0.234272
0.812,-0.243032
0.813,-0.246601
0.814,-0.232975
0.815,-0.229082
0.816,-0.221295
0.817,-0.219673
0.818,-0.226162
0.819,-0.234272
0.82,-0.234921
0.821,-0.233299
0.822,-0.236219
0.823,-0.240761
0.824,-0.243356
0.825,-0.245627
0.826,-0.24725
0.827,-0.245303
0.828,-0.24433
0.829,-0.248223
0.83,-0.250169
0.831,-0.243032
0.832,-0.239139
0.833,-0.231677
0.834,-0.221295
0.835,-0.21286
0.836,-0.202478
0.837,-0.200856
0.838,-0.196314
0.839,-0.211238
0.84,-0.220971
0.841,-0.224215
0.842,-0.216104
0.843,-0.198261
0.844,-0.183013
0.845,-0.190799
0.846,-0.185932
0.847,-0.168089
0.848,-0.140512
0.849,-0.104501
0.85,-0.082115
0.851,-0.066867
0.852,-0.057458
0.853,-0.04513
0.854,-0.034424
0.855,-0.029557
0.856,-0.025989
0.857,-0.024042
0.858,-0.018851
0.859,-0.015607
0.86,-0.023393
0.861,-0.05097
0.862,-0.077249
0.863,-0.103203
0.864,-0.130455
0.865,-0.158031
0.866,-0.188528
0.867,-0.208642
0.868,-0.227784
0.869,-0.233948
0.87,-0.223242
0.871,-0.22973
0.872,-0.244979
